surface,surface_type,radius_mm,thickness_to_next_mm,material_after,index_587.6_nm,clear_semidiameter_mm,aspheric,K,C1_mm^-3,C2_mm^-5,C3_mm^-7,C4_mm^-9,C5_mm^-11,C6_mm^-13,vertex_z_mm
1,refractive,25.907000000,5.083000000,SK4,1.61272000,10.600,False,,,,,,,,0.000000000
2,refractive,147.341000000,2.355000000,AIR,1.00000000,8.980,False,,,,,,,,5.083000000
3,refractive,34.804000000,1.694000000,F4,1.61700000,6.050,False,,,,,,,,7.438000000
4,refractive,17.340000000,2.542000000,AIR,1.00000000,5.250,False,,,,,,,,9.132000000
5,aperture_stop,0.000000000,2.542000000,AIR,1.00000000,5.150,False,,,,,,,,11.674000000
6,refractive,-17.340000000,1.694000000,F4,1.61700000,5.200,False,,,,,,,,14.216000000
7,refractive,-34.804000000,2.355000000,AIR,1.00000000,6.000,False,,,,,,,,15.910000000
8,refractive,-138.870000000,5.083000000,SK4,1.61272000,8.600,False,,,,,,,,18.265000000
9,refractive,-24.396000000,89.832000000,AIR,1.00000000,10.240,False,,,,,,,,23.348000000
